,doc_id,doc_x,doc_y,genre
9789021443447,9789021443447,11.212433,4.56122,"Dutch literary novel, novella"
9789461705044,9789461705044,8.27657,12.910433,romance
9789402753714,9789402753714,11.694048,7.0483704,"translated literary novel, novella"
9789402751550,9789402751550,9.499269,8.170773,literary thriller
9789044972276,9789044972276,11.19352,10.2532625,thriller
9789402505603,9789402505603,6.2629833,13.991443,romance
9789402507447,9789402507447,8.3968525,15.220326,romance
9789402530278,9789402530278,6.3960443,14.141299,romance
9789461708908,9789461708908,6.2412624,15.114188,romance
9789402530551,9789402530551,6.789274,10.907134,historical novel (popular)
9789044974393,9789044974393,11.074109,10.417584,thriller
9789461998880,9789461998880,8.787132,13.620809,romance
9789402503968,9789402503968,7.428508,14.975603,romance
9789461707529,9789461707529,8.311625,12.807267,romance
9789460416484,9789460416484,7.4746513,0.7543629,suspense general
9789402526776,9789402526776,7.7061605,13.798821,romance
9789461997388,9789461997388,7.0194902,13.884928,romance
9789461993700,9789461993700,6.9040155,13.620037,romance
9789038895857,9789038895857,11.244664,4.8054833,"Dutch literary novel, novella"
9789402536409,9789402536409,8.082044,15.015253,romance
9789402532081,9789402532081,10.136965,12.713613,suspense pocket
9789021435794,9789021435794,9.938543,4.2145543,"Dutch literary novel, novella"
9789402518597,9789402518597,8.021042,13.943479,romance
9789021445366,9789021445366,11.119493,4.6368003,"Dutch literary novel, novella"
9789402758979,9789402758979,9.192168,9.3228,unknown
9789403154404,9789403154404,11.348242,5.162506,"Dutch literary novel, novella"
9789492899606,9789492899606,14.204679,6.4835534,unknown
9789402534993,9789402534993,6.811547,14.024997,romance
9789021455853,9789021455853,6.8554015,4.930094,literary thriller
9789402542523,9789402542523,6.0002074,13.85422,romance
9789044960464,9789044960464,9.656607,9.043775,"translated literary novel, novella"
9789402515305,9789402515305,9.884058,12.994888,romance
9789461704894,9789461704894,9.803684,14.160893,romance
9789401604000,9789401604000,10.341562,3.986566,"translated literary novel, novella"
9789044978476,9789044978476,9.569597,7.0792856,"translated literary novel, novella"
9789044642742,9789044642742,10.8251505,4.669378,"Dutch literary novel, novella"
9789402759044,9789402759044,8.227182,12.375463,"translated literary novel, novella"
9789025368890,9789025368890,9.312772,6.0391345,"translated literary novel, novella"
9789460415869,9789460415869,9.190682,9.476355,suspense general
9789021436333,9789021436333,12.195806,5.139222,"Dutch literary novel, novella"
9789461990433,9789461990433,8.502192,15.932097,romance
9789461992727,9789461992727,9.382537,13.621196,romance
9789461990563,9789461990563,7.2313733,13.939818,unknown
9789402754858,9789402754858,8.652955,12.981044,romance
9789461700292,9789461700292,7.4599814,13.379841,romance
9789402521887,9789402521887,9.0723295,13.404348,romance
9789402504699,9789402504699,6.547092,12.451659,romance
9789025867843,9789025867843,14.59036,6.2559695,unknown
9789402514322,9789402514322,8.430299,13.5289,romance
9789021679341,9789021679341,7.992066,11.079286,unknown
9789402516036,9789402516036,8.197859,15.538712,romance
9789460415173,9789460415173,12.720052,3.6626182,suspense general
9789402525281,9789402525281,8.980042,12.322433,romance
9789044968170,9789044968170,6.848503,7.976451,thriller
9789461709035,9789461709035,6.4478436,13.329024,romance
9789461709165,9789461709165,7.046675,10.772343,romance
9789402541069,9789402541069,6.239945,15.1723385,romance
9789461704979,9789461704979,6.59241,13.773326,romance
9789044971781,9789044971781,10.617255,8.449573,thriller
9789021669083,9789021669083,13.625424,6.063736,unknown
9789048725052,9789048725052,14.570155,6.2992167,unknown
9789048727346,9789048727346,14.130926,6.8344502,unknown
9789402535143,9789402535143,8.104121,15.803283,romance
9789402535013,9789402535013,10.201487,11.877889,suspense pocket
9789044624830,9789044624830,12.08974,5.7339153,"Dutch literary novel, novella"
9789021669717,9789021669717,13.711914,6.2808614,unknown
9789402752663,9789402752663,10.925775,11.068574,literary thriller
9789402538045,9789402538045,9.896082,13.301148,romance
9789402750577,9789402750577,12.273613,8.948413,Young adult fiction
9789402512380,9789402512380,8.861566,10.859404,romance
9789461994011,9789461994011,8.4874,15.587721,romance
9789021672571,9789021672571,14.665461,7.5232544,unknown
9789461996305,9789461996305,10.096311,11.510544,suspense pocket
9789461994141,9789461994141,10.352801,10.771917,suspense pocket
9789461709172,9789461709172,7.77282,10.894835,romance
9789059087903,9789059087903,11.62357,7.2491107,unknown
9789048725045,9789048725045,14.708182,6.457689,unknown
9789402533798,9789402533798,5.808674,14.385045,romance
9789029581325,9789029581325,10.4214945,4.1725235,"Dutch literary novel, novella"
9789044634242,9789044634242,11.912569,7.087593,unknown
9789025301323,9789025301323,8.970539,6.312625,"translated literary novel, novella"
9789021449579,9789021449579,9.736455,4.5669127,"Dutch literary novel, novella"
9789025865573,9789025865573,4.2663884,12.645872,unknown
9789044963823,9789044963823,10.096415,10.501548,thriller
9789044971002,9789044971002,11.735379,10.092309,literary thriller
9789402750430,9789402750430,-2.4623446,8.114408,Young adult fiction
9789402538052,9789402538052,9.237613,12.544604,romance
9789402752724,9789402752724,9.105863,6.3797803,unknown
9789402750560,9789402750560,9.565397,10.233158,Young adult fiction
9789461709868,9789461709868,10.572338,12.134111,suspense pocket
9789044642605,9789044642605,10.496987,7.1004133,"Dutch literary novel, novella"
9789402533675,9789402533675,9.896055,12.488252,romance
9789402750249,9789402750249,10.513879,9.992117,Young adult fiction
9789044617337,9789044617337,9.436793,6.1209393,"translated literary novel, novella"
9789402500592,9789402500592,7.031739,10.559325,historical novel (popular)
9789044629712,9789044629712,9.472298,9.2191925,"translated literary novel, novella"
9789029568067,9789029568067,10.244322,5.5473304,"Dutch literary novel, novella"
9789402525502,9789402525502,6.3561277,14.686974,romance
9789460411328,9789460411328,12.652701,3.9765623,"Dutch literary novel, novella"
9789044975567,9789044975567,6.6942363,5.177219,literary thriller
9789402500356,9789402500356,7.057385,10.784985,historical novel (popular)
9789044975437,9789044975437,8.944942,8.513284,thriller
9789402756241,9789402756241,9.864091,12.48047,thriller
9789025877361,9789025877361,15.120917,5.322516,unknown
9789402754155,9789402754155,12.05741,9.208438,fantasy
9789021439136,9789021439136,9.527829,7.9053464,"translated literary novel, novella"
9789021446042,9789021446042,9.961358,5.5959754,"Dutch literary novel, novella"
9789021454863,9789021454863,12.274552,5.829645,literary thriller
9789402543513,9789402543513,9.20347,9.773506,unknown
9789048737093,9789048737093,14.647339,6.5019035,unknown
9789461994738,9789461994738,8.295943,15.457716,romance
9789044961454,9789044961454,10.018478,-3.4590652,detective
9789402752847,9789402752847,6.6720033,17.272968,romance
9789025863302,9789025863302,9.678447,4.234553,"Dutch literary novel, novella"
9789044976090,9789044976090,4.0301256,8.637039,thriller
9789461998897,9789461998897,8.366626,12.748487,romance
9789402507379,9789402507379,9.048415,13.415154,romance
9789029586573,9789029586573,11.109919,4.664831,"Dutch literary novel, novella"
9789460414909,9789460414909,12.716475,3.8926008,unknown
9789021443379,9789021443379,9.950072,5.559983,"Dutch literary novel, novella"
9789460414787,9789460414787,9.924434,9.856502,suspense general
9789461993717,9789461993717,7.097199,13.908883,romance
9789461991553,9789461991553,6.469835,14.233337,romance
9789402508871,9789402508871,9.13142,12.625086,romance
9789402518344,9789402518344,5.9478607,13.976144,romance
9789029590754,9789029590754,10.86693,2.6829047,"Dutch literary novel, novella"
